Province/State,Country/Region,include
"Williamson County, TN",US,
"New York County, NY",US,
"Montgomery County, MD",US,
"Suffolk County, MA",US,
"Denver County, CO",US,
"Summit County, CO",US,
"Bergen County, NJ",US,
"Harris County, TX",US,
"San Francisco County, CA",US,
"Contra Costa County, CA",US,
"Orange County, CA",US,
"Norfolk County, MA",US,
"Maricopa County, AZ",US,
"Wake County, NC",US,
"Westchester County, NY",US,
"Grafton County, NH",US,
"Hillsborough, FL",US,
"Placer County, CA",US,
"San Mateo, CA",US,
"Sonoma County, CA",US,
"Umatilla, OR",US,
"Fulton County, GA",US,
"Washington County, OR",US,
"Snohomish County, WA",US,
"Humboldt County, CA",US,
"Sacramento County, CA",US,
"San Diego County, CA",US,
"San Benito, CA",US,
"Los Angeles, CA",US,
"King County, WA",US,
"Cook County, IL",US,
"Skagit, WA",US,
"Thurston, WA",US,
"Island, WA",US,
"Whatcom, WA",US,
"Marin, CA",US,
"Calaveras, CA",US,
"Stanislaus, CA",US,
"San Joaquin, CA",US,
"Essex, MA",US,
"Charlton, GA",US,
"Collier, FL",US,
"Pinellas, FL",US,
"Alachua, FL",US,
"Nassau, FL",US,
"Pasco, FL",US,
"Dallas, TX",US,
"Tarrant, TX",US,
"Montgomery, TX",US,
"Middlesex, NJ",US,
"Jefferson, CO",US,
"Multnomah, OR",US,
"Polk, OR",US,
"Deschutes, OR",US,
"McHenry, IL",US,
"Lake, IL",US,
"Bucks, PA",US,
"Hanover, VA",US,
"Lancaster, SC",US,
"Sullivan, TN",US,
"Johnson, IN",US,
"Howard, IN",US,
"St. Joseph, IN",US,
"Knox, NE",US,
"Stark, OH",US,
"Anoka, MN",US,
"Olmsted, MN",US,
"Summit, UT",US,
"Fairfield, CT",US,
"Litchfield, CT",US,
"Orleans, LA",US,
"Pennington, SD",US,
"Beadle, SD",US,
"Charles Mix, SD",US,
"Davison, SD",US,
"Minnehaha, SD",US,
"Bon Homme, SD",US,
"Socorro, NM",US,
"Bernalillo, NM",US,
"Oakland, MI",US,
"Wayne, MI",US,
"New Castle, DE",US,
,Cuba,
,Guyana,
Australian Capital Territory,Australia,
United Kingdom,United Kingdom,
,Kazakhstan,
French Polynesia,France,
Manitoba,Canada,
Saskatchewan,Canada,
,Ethiopia,
,Sudan,
,Guinea,
Grand Princess,Canada,
,Kenya,
,Antigua and Barbuda,
Alabama,US,
,Uruguay,
,Ghana,
Puerto Rico,US,
,Namibia,
,Seychelles,
,Trinidad and Tobago,
,Venezuela,
,Eswatini,
,Gabon,
,Guatemala,
,Mauritania,
,Rwanda,
,Saint Lucia,
,Saint Vincent and the Grenadines,
,Suriname,
French Guiana,France,
Guam,US,
,Kosovo,
Newfoundland and Labrador,Canada,
Prince Edward Island,Canada,
,Central African Republic,
,Congo (Brazzaville),
,Equatorial Guinea,
Mayotte,France,
,Uzbekistan,
Netherlands,Netherlands,
Nova Scotia,Canada,
Guadeloupe,France,
,Benin,
,Liberia,
Curacao,Netherlands,
,Somalia,
,Tanzania,
Virgin Islands,US,
Cayman Islands,United Kingdom,
Reunion,France,
,Barbados,
,Montenegro,
,Kyrgyzstan,
,Mauritius,
Aruba,Netherlands,
,Zambia,
,Djibouti,
,"Gambia, The",
Montserrat,United Kingdom,
,"Bahamas, The",
Greenland,Denmark,
New Caledonia,France,
Bermuda,United Kingdom,
,Chad,
,El Salvador,
,Fiji,
,Nicaragua,
,Madagascar,
,Haiti,
,Angola,
,Cabo Verde,
Sint Maarten,Netherlands,
,Niger,
,Papua New Guinea,
Isle of Man,United Kingdom,
,Zimbabwe,
Northwest Territories,Canada,
,Cape Verde,
,East Timor,
,Eritrea,
,Uganda,
,Dominica,
,Grenada,
,Mozambique,
,Syria,
,Timor-Leste,
